     6>LINK : fatal error LNK1104: cannot open file 'dTnsConfigFile.lib' [D:\a\TohoSpec\TohoSpec\SRC\Hook\HOOK.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(312,31): error C3867: 'CPifMessage502::SetItemN6': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(313,31): error C3867: 'CPifMessage502::SetItemN7': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(314,31): error C3867: 'CPifMessage502::SetItemN8': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(318,31): error C3867: 'CPifMessage502::SetItemK1': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(319,31): error C3867: 'CPifMessage502::SetItemK2': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(320,31): error C3867: 'CPifMessage502::SetItemK3': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(321,31): error C3867: 'CPifMessage502::SetItemK4': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(322,31): error C3867: 'CPifMessage502::SetItemK5': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(323,31): error C3867: 'CPifMessage502::SetItemK6': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(324,31): error C3867: 'CPifMessage502::SetItemK7': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(325,31): error C3867: 'CPifMessage502::SetItemK8': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(329,35): error C3867: 'CPifMessage502::SetItemCONST1': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
