     6>LINK : fatal error LNK1104: cannot open file 'dTnsConfigFile.lib' [D:\a\TohoSpec\TohoSpec\SRC\Hook\HOOK.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(592,44): error C3867: 'CPifMessage502::SetItemSTRLxS10_StartX': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(593,44): error C3867: 'CPifMessage502::SetItemSTRLxS11_StartX': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(594,44): error C3867: 'CPifMessage502::SetItemSTRLxS12_StartX': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(595,44): error C3867: 'CPifMessage502::SetItemSTRLxS13_StartX': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(596,44): error C3867: 'CPifMessage502::SetItemSTRLxS14_StartX': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(597,44): error C3867: 'CPifMessage502::SetItemSTRLxS15_StartX': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(598,44): error C3867: 'CPifMessage502::SetItemSTRLxS16_StartX': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(599,44): error C3867: 'CPifMessage502::SetItemSTRLxS17_StartX': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(600,44): error C3867: 'CPifMessage502::SetItemSTRLxS18_StartX': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(601,44): error C3867: 'CPifMessage502::SetItemSTRLxS19_StartX': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(602,44): error C3867: 'CPifMessage502::SetItemSTRLxS20_StartX': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(606,44): error C3867: 'CPifMessage502::SetItemSTRLxS1_StartY': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(606,44): error C1003: error count exceeds 100; stopping compilation [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    20>D:\a\TohoSpec\TohoSpec\SRC\MotSysNSPT\CtrlCmd.cpp(850,7): error C2065: 'i': undeclared identifier [D:\a\TohoSpec\TohoSpec\SRC\MotSysNSPT\MotSysG.vcxproj]
    20>D:\a\TohoSpec\TohoSpec\SRC\MotSysNSPT\CtrlCmd.cpp(850,14): error C2065: 'i': undeclared identifier [D:\a\TohoSpec\TohoSpec\SRC\MotSysNSPT\MotSysG.vcxproj]
    20>D:\a\TohoSpec\TohoSpec\SRC\MotSysNSPT\CtrlCmd.cpp(850,22): error C2065: 'i': undeclared identifier [D:\a\TohoSpec\TohoSpec\SRC\MotSysNSPT\MotSysG.vcxproj]
    20>D:\a\TohoSpec\TohoSpec\SRC\MotSysNSPT\CtrlCmd.cpp(851,16): error C2065: 'i': undeclared identifier [D:\a\TohoSpec\TohoSpec\SRC\MotSysNSPT\MotSysG.vcxproj]
